Курс;1;Группа ВЭ-111;
Сем.;№;Наименование дисциплин;Кафедры
;;;
первый
;1;История;ВСГ
;2;Менеджмент;ВЭМ
;3;Иностранный язык;ВСГ
;4;Математика;ВПФМ
;5;История экономики и экономических учений;ВЭМ
;6;Концепции современного естествознания;ВХТО
;7;Экономическая теория;ВЭМ
;8;Философия;ВСГ
;9;Элективные дисциплины по физической культуре и спорту;ВКФ
;10;Коммуникации в профессиональной деятельности;ВСГ
;;;
второй
;1;Социология;ВСГ
;2;Иностранный язык;ВСГ
;3;Математика;ВПФМ
;4;Экономическая теория;ВЭМ
;5;Безопасность жизнедеятельности;ВТПЭ
;6;Информационные технологии;ВЭМ
;7;Основы правовых знаний;ВСГ
;8;Институцианальная экономика;ВЭМ
;9;Экономика отрасли;ВЭМ
;10;Элективные дисциплины по физической культуре и спорту;ВКФ
;;;
Курс;2;Группа ВЭ-211;
Сем.;№;Наименование дисциплин;Кафедры
;;;
третий
;1;Иностранный язык;ВСГ
;2;Математика;ВПФМ
;3;Экономика предприятия;ВЭМ
;4;Тайм-менеджмент;ВЭМ
;5;Физическая культура и спорт;ВКФ
;6;Статистика;ВЭМ
;7;Организация предпринимательской деятельности;ВЭМ
;8;Элективные дисциплины по физической культуре и спорту;ВКФ
;9;Операционный менеджмент;ВЭМ
;;;
четвертый
;1;Иностранный язык;ВСГ
;2;Мировая экономика;ВЭМ
;3;Организация и технология отрасли;ВТПЭ
;4;Маркетинг;ВЭМ
;5;Физическая культура и спорт;ВКФ
;6;Нормирование труда и организация заработной платы;ВЭМ
;7;Элективные дисциплины по физической культуре и спорту;ВКФ
;8;Логистика;ВЭМ
;9;Управление персоналом;ВЭМ
;10;Учебная практика;ВЭМ
;;;
Курс;3;Группа ВЭ-311;
Сем.;№;Наименование дисциплин;Кафедры
;;;
пятый
;1;Инновационная экономика;ВЭМ
;2;Антимонопольное регулирование;ВЭМ
;3;Бухгалтерский учет и анализ;ВЭМ
;4;Элективные дисциплины по физической культуре и спорту;ВКФ
;5;Ценообразование;ВЭМ
;6;Планирование на предприятии;ВЭМ
;7;Финансы и кредит;ВЭМ
;;;
шестой
;1;Налоги и налогообложение;ВЭМ
;2;Экономико-математические методы;ВЭМ
;3;Финансовая математика;ВЭМ
;4;Реструктуризация предприятий;ВЭМ
;5;Анализ управления затратами;ВЭМ
;6;Социальная ответственность бизнеса;ВЭМ
;7;Элективные дисциплины по физической культуре и спорту;ВКФ
;8;Бюджетирование;ВЭМ
;9;Информационно-библиотечные системы            (0 чел.);ВЭМ
;10;Производственная практика (научно-исследовательская работа);ВЭМ
;;;
Курс;4;Группа ВЭ-411;
Сем.;№;Наименование дисциплин;Кафедры
;;;
седьмой
;1;Физическая культура и спорт;ВКФ
;2;Экономика недвижимости;ВЭМ
;3;Экономическая оценка инвестиций;ВЭМ
;4;Стратегическое управление;ВЭМ
;5;Аудит;ВЭМ
;6;Анализ и диагностика финансово-хозяйственной деятельности;ВЭМ
;7;Элективные дисциплины по физической культуре и спорту;ВКФ
;;;
восьмой
;1;Финансовый менеджмент;ВЭМ
;2;Основы оценки стоимости бизнеса;ВЭМ
;3;Экономическая безопасность;ВЭМ
;4;Антикризисное управление;ВЭМ
;5;Производственная (преддипломная) практика;ВЭМ
